TRACT,RESPNUM_,FIPS,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
2987,0078,421010078004,1,5,51,-75.21713515026505,39.94554395790995,-75.2184192609713,39.94765023898179
185,0074,421010074006,1,2,42,-75.21687610109012,39.93889013147859,-75.21828296826799,39.9399957205524
1953,0071,421010071004,1,1,47,-75.22719853532837,39.93841462237579,-75.22894795424007,39.93805146602885
1991,0072,421010072006,1,1,54,-75.2351150558265,39.94422458784985,-75.23636139810777,39.943754578859874
3301,0078,421010078004,1,5,53,-75.2187995582095,39.94690132477292,-75.21797930086574,39.945686303238624
383,0072,421010072006,1,1,35,-75.23370508014767,39.94688808825071,-75.23739502831278,39.94364150229968
2291,0078,421010078004,1,5,31,-75.21729649576618,39.947501490345324,-75.21737804852405,39.94828659758735
2198,0072,421010072006,1,5,45,-75.2352063794007,39.94413920612667,-75.23879019798517,39.94528466129527
2945,0069,421010069001,1,1,44,-75.21315030358741,39.92870153939825,-75.20880190733767,39.93121885692289
209,0071,421010071004,1,1,47,-75.23052528776198,39.93837818664685,-75.2298674054542,39.937587111974125
2995,0071,421010071004,1,1,75,-75.23082561207757,39.93784390919787,-75.22847626198447,39.937642966842745
834,0070,421010070006,1,1,43,-75.22094215776188,39.93684451335924,-75.22209318593835,39.9379014944732
227,0073,421010073002,1,2,39,-75.22274362820862,39.942068108231865,-75.22000449898532,39.94153354810183
948,0070,421010070004,1,2,61,-75.22292186430427,39.93401568099276,-75.2226481911063,39.934862947329755
3239,0070,421010070001,1,3,70,-75.22004373220835,39.93822651630838,-75.21962926402652,39.9385723571638
2606,0074,421010074008,1,3,46,-75.21432168587087,39.941843462037404,-75.21641839007934,39.94064683815948
2490,0071,421010071007,2,2,33,-75.22528894382093,39.94207163049638,-75.22491425688726,39.94141306240142
3147,0070,421010070004,1,2,52,-75.22224539567326,39.93372939458701,-75.22322791145884,39.933775278389106
3189,0071,421010071004,2,4,52,-75.22839986100708,39.93760044288039,-75.22934602811165,39.93716420008781
1442,0071,421010071007,1,2,49,-75.2250801915007,39.94184729698375,-75.22342826018155,39.94142628281742
3406,0074,421010074006,1,2,56,-75.21654635257562,39.939514760437774,-75.21655237616194,39.93877264328729
3098,0072,421010072006,1,1,31,-75.23659900477902,39.9444269150051,-75.23456051795087,39.944142561049794
3421,0070,421010070001,1,4,54,-75.22018857245597,39.93808858884063,-75.21845214529155,39.937407522150075
3016,0071,421010071004,1,4,36,-75.23045038161416,39.93815263210589,-75.22831089607519,39.93896420975111
942,0070,421010070004,1,2,66,-75.22362230124916,39.93535673857958,-75.22444968971023,39.935110531726295
2148,0071,421010071007,1,2,35,-75.22676106601035,39.94418385888893,-75.226174593859,39.943919579966426
2308,0070,421010070001,1,3,19,-75.21984157066798,39.937249276174704,-75.21944133403647,39.93682406280841
3353,0078,421010078005,1,3,24,-75.2121683361577,39.947013062890086,-75.2155714079873,39.94844399380559
130,0070,421010070004,1,2,58,-75.22307368490816,39.93330204303544,-75.22386915533448,39.93540224641725
358,0074,421010074005,1,1,58,-75.21697759772371,39.93784271691719,-75.2163765204614,39.936434771193575
1466,0074,421010074002,1,5,40,-75.21200586330279,39.94228611492429,-75.21116926455453,39.94293232726602
814,0078,421010078005,2,3,29,-75.2151841791102,39.94775264201863,-75.21296731796429,39.947878737352546
173,0074,421010074002,1,4,26,-75.21274481010543,39.94377082320211,-75.21292552531594,39.94431479870477
1472,0071,421010071004,1,4,51,-75.22835435775532,39.93782455976312,-75.22901046749584,39.93907198834001
116,0074,421010074006,1,2,48,-75.21894981938728,39.939647222535214,-75.21774028444457,39.94052419590718
787,0071,421010071002,1,3,57,-75.22561688614583,39.93795759220612,-75.22650334521633,39.93859722955666
2036,0074,421010074007,1,2,65,-75.21885254415369,39.94154729038573,-75.21605678575666,39.94227521577564
1422,0070,421010070006,1,1,26,-75.22059699407455,39.9359076896967,-75.22383072800146,39.936531617368615
198,0071,421010071007,1,2,64,-75.22628010560857,39.942806307426316,-75.22653026132745,39.94376603658986
1426,0071,421010071001,1,3,69,-75.22463211050388,39.93980833482899,-75.22259223125812,39.940331520157
3220,0069,421010069001,1,3,47,-75.21120383455595,39.93363696319672,-75.21591006955526,39.93055866559375
2376,0078,421010078001,1,1,48,-75.21220127689658,39.94562117398333,-75.2141188541485,39.944957860957686
1531,0071,421010071007,1,2,46,-75.22599430209101,39.94277416837919,-75.2250106605097,39.94280655498838
2261,0078,421010078005,2,3,32,-75.21232950140558,39.9484079426069,-75.21551766914511,39.948376787113915
2022,0074,421010074008,2,3,35,-75.21660961030022,39.94049376710089,-75.21451849055273,39.941233705035685
